,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10244,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19396856.0,19396856.0,False,,1,,,,2023-06-09T05:38:00.000Z,26487.280500739555,11928576733.652775,-31.1045,0.14892866,0.28244164,-2.43983942,-4.31597856,-6.23351767,28.14128194,513769965704.453,46.6416,556232890515.53,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
1,1027,Ethereum,ETH,ethereum,6983,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120229122.25872481,120229122.25872481,True,,2,,,,2023-06-09T05:38:00.000Z,1837.725634165223,4632145433.189658,-35.9497,0.03508867,-0.03142329,-2.9869451,-0.38190369,-1.12812943,24.87987247,220948139948.04318,20.0522,220948139948.04,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
2,825,Tether,USDT,tether,55236,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83321599071.57214,86086529362.37724,True,,3,,,,2023-06-09T05:38:00.000Z,1.0002414782828617,18200833904.81091,-29.7213,0.02060796,0.02967877,0.01419777,-0.00546162,-0.02575454,-0.36939307,83341719428.24124,7.5652,86107317389.67,,2023-06-09T05:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-06-09 05:41:01.578775
3,1839,BNB,BNB,bnb,1452,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1']",,155855024.65282524,155855024.65282524,False,,4,,,,2023-06-09T05:38:00.000Z,260.3917586583753,547326039.2857066,-43.8776,0.12925608,-0.05266218,-15.49074652,-16.8613854,-16.77815416,-6.89524128,40583363965.0936,3.6843,40583363965.09,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
4,3408,USD Coin,USDC,usd-coin,12894,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,28438948618.466644,28438948618.466644,False,,5,,,,2023-06-09T05:38:00.000Z,1.0000812250870705,2760885686.5397105,-28.4944,0.01623551,0.02348925,0.02574455,0.02438182,0.02690104,5.32714324,28441258574.544373,2.582,28441258574.54,,2023-06-09T05:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-06-09 05:41:01.578775
5,52,XRP,XRP,xrp,961,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,51987017573.0,99988884267.0,False,,6,,,,2023-06-09T05:38:00.000Z,0.525321270738329,895993291.568147,-44.3576,0.08895654,0.7567276,1.17484696,21.90377633,4.31786196,41.77302868,27309886133.3442,2.479,52532127073.83,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
6,2010,Cardano,ADA,cardano,831,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1']",45000000000.0,34904071436.671,35858591330.061,False,,7,,,,2023-06-09T05:38:00.000Z,0.31860271487736863,235758833.49836773,-40.8834,-0.1513975,-1.60451831,-14.64394028,-12.6331072,-17.68152797,-0.07300665,11120531919.996996,1.0095,14337122169.48,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
7,74,Dogecoin,DOGE,dogecoin,723,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,139690846383.70517,139690846383.70517,True,,8,,,,2023-06-09T05:38:00.000Z,0.0678264582116662,164519930.2505946,-37.8034,0.05055019,-0.22075582,-5.94314044,-7.45012151,-18.3469165,1.79500592,9474735354.796661,0.8601,9474735354.8,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
8,5426,Solana,SOL,solana,469,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1']",,398187430.4067485,549568897.5269417,True,,9,,,,2023-06-09T05:38:00.000Z,18.74374587480136,233910767.88971326,-41.2999,0.0334265,0.70229205,-11.21167449,-9.69026762,-7.3934513,2.8433986,7463524006.084245,0.6776,10300979755.94,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
9,3890,Polygon,MATIC,polygon,732,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem']",10000000000.0,9289469069.28493,10000000000.0,False,,10,,,,2023-06-09T05:38:00.000Z,0.7829581019181732,267895584.88010114,-31.7831,-0.16601499,2.24650706,-13.68253705,-10.77267296,-28.3525667,-25.99852043,7273265070.314907,0.6603,7829581019.18,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
10,1958,TRON,TRX,tron,771,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem']",,90139730698.93587,90139762073.2827,True,,11,71659659264.0,5548218315.845142,,2023-06-09T05:38:00.000Z,0.07742457015327209,155763685.64039817,-22.4927,0.07554748,0.86797312,1.11305544,11.69128167,16.10850276,35.14911032,6979029903.096814,0.6335,6979032332.24,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
11,2,Litecoin,LTC,litecoin,921,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73104276.72743528,84000000.0,False,,12,,,,2023-06-09T05:38:00.000Z,87.78454669434487,361638631.4042398,-27.3463,0.14049401,-0.73478507,-7.89056425,10.02848991,-3.01392778,21.64631055,6417425793.935851,0.5826,7373901922.32,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
12,6636,Polkadot,DOT,polkadot-new,510,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1192735432.4331398,1322214309.7383196,True,,13,,,,2023-06-09T05:38:00.000Z,5.007222739458299,100157007.88576956,-14.7666,0.0082099,-0.29445362,-5.22871692,-6.38350655,-18.73762607,-10.34782315,5972291979.436845,0.5421,6620621558.16,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
13,4687,Binance USD,BUSD,binance-usd,6898,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'usd-stablecoin', 'optimism-ecosystem']",,4864570770.549097,4864570770.549097,True,,14,,,,2023-06-09T05:38:00.000Z,0.9999938964867586,1883634112.4902463,-24.0149,0.01712894,0.03826005,-0.02678156,-0.02097416,0.00370349,0.07498639,4864541079.576985,0.4416,4864541079.58,,2023-06-09T05:38:00.000Z,1839.0,BNB,BNB,bnb,BUSD-BD1,2023-06-09 05:41:01.578775
14,5805,Avalanche,AVAX,avalanche,446,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'layer-1']",720000000.0,344882479.30447227,431601929.30447227,False,,15,,,,2023-06-09T05:38:00.000Z,13.82758832775713,112307125.88377663,-24.0886,0.04893905,-0.65118691,-3.58705834,-9.90323259,-21.14113029,-6.01646852,4768892945.2784605,0.4328,9955863595.99,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
15,4943,Dai,DAI,multi-collateral-dai,2320,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,4749510932.549581,4749510932.549581,True,,16,,,,2023-06-09T05:38:00.000Z,0.9997949426890516,108194218.0937158,-21.1837,-0.00103542,0.01472746,-0.05750939,0.01269325,0.04443449,4.76488562,4748537010.609431,0.4311,4748537010.61,,2023-06-09T05:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2023-06-09 05:41:01.578775
16,5994,Shiba Inu,SHIB,shiba-inu,539,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589349342701504.2,589591154161017.8,False,,17,,,,2023-06-09T05:38:00.000Z,7.944959851842663e-06,66752810.25901047,-31.4956,0.13241976,0.21422695,-6.67181702,-11.44434987,-27.16412884,-23.1816331,4682356866.473314,0.4249,4684278048.81,,2023-06-09T05:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-06-09 05:41:01.578775
17,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1223,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,156847.67545214,156847.67545214,False,,18,,,,2023-06-09T05:38:00.000Z,26483.946317609632,92973060.0747023,-38.5631,0.09352952,0.25665125,-2.47165878,-4.38047283,-6.35863628,28.01261397,4153945416.7163343,0.3771,4153945416.72,,2023-06-09T05:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-06-09 05:41:01.578775
18,3957,UNUS SED LEO,LEO,unus-sed-leo,27,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,930162782.9,985239504.0,False,,19,,,,2023-06-09T05:38:00.000Z,3.5194644671069364,663928.12931187,20.7346,-0.12437262,0.11712046,-0.48968309,-0.88182878,4.42122996,2.62714771,3273674863.0418534,0.2971,3467515425.92,,2023-06-09T05:38:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2023-06-09 05:41:01.578775
19,3794,Cosmos,ATOM,cosmos,448,2019-03-14T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'content-creation', 'interoperability', 'polychain-capital-portfolio', 'dragonfly-capital-portfolio', 'hashkey-capital-portfolio', '1confirmation-portfolio', 'paradigm-portfolio', 'exnetwork-capital-portfolio', 'injective-ecosystem']",,346608690.0,0.0,True,,20,,,,2023-06-09T05:38:00.000Z,9.315958037247384,64968055.91288107,-25.8576,-0.44867429,-1.58228292,-11.91269464,-9.63343603,-15.29159788,-16.79624896,3228992011.385287,0.2931,0.0,,2023-06-09T05:38:00.000Z,,,,,,2023-06-09 05:41:01.578775
0,1,Bitcoin,BTC,bitcoin,10244,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19396856.0,19396856.0,False,,1,,,,2023-06-09T05:41:00.000Z,26489.476380682423,11930490377.033901,-31.088,0.10713519,0.30681114,-2.5191441,-4.30399328,-6.24980686,27.94488697,513812558871.49817,46.6455,556279003994.33,,2023-06-09T05:41:00.000Z,,,,,,2023-06-09 05:42:30.866824
1,1027,Ethereum,ETH,ethereum,6983,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120229122.25872481,120229122.25872481,True,,2,,,,2023-06-09T05:41:00.000Z,1838.120471539363,4632797338.711824,-35.921,0.04771972,0.00493408,-3.02189178,-0.35894994,-1.13853009,24.88298597,220995610898.97098,20.0623,220995610898.97,,2023-06-09T05:41:00.000Z,,,,,,2023-06-09 05:42:30.866824
